!!!
!DonnerwetteR!
!Kung
#pragma once
&RQ
'74 Jailbreak
'Adan Governorate
'Ain Ghazal
'Amanave
'Amran Governorate
'Asma' bint Marwan
'O Sole Mio
'Tis the Season
( )
(.)p(...)nin
(10018) 1979 MG4
(10052) 1987 SM12
(10065) 1988 XK
(10081) 1990 OW1
(10084) 1990 QC5
(10096) 1991 RK5
(10110) 1992 LJ
(10228) 1997 VY8
(10299) 1988 VS3
(10308) 1990 QC3
(10312) 1990 QT9
(10333) 1991 NZ6
(10337) 1991 RO1
(10491) 1986 QS1
(11843) 1987 DM6
(13000) 1981 QK3
(13041) 1990 OS4
(14325) 1979 MM6
(14343) 1984 SM5
(14344) 1985 CP2
(14388) 1990 QO5
(153814) 2001 WN5
(16410) 1986 QU2
(16420) 1987 UN1
(16474) 1990 QG3
(16476) 1990 QU4
(16485) 1990 RG2
(16486) 1990 RM3
(16488) 1990 RX8
(16535) 1991 NF3
(19308) 1996 TO66
(196256) 2003 EH1
(20990) 1983 RL3
(20993) 1985 RX2
(21107) 1992 PZ4
(26375) 1999 DE9
(29878) 1999 GY19
(30960) 1994 UV2
(31262) 1998 ES8
(385571) 2004 UP10
(47171) 1999 TC36
(48639) 1995 TL8
(5257) 1988 RS10
(5292) 1991 AJ1
(5322) 1986 QB1
(53319) 1999 JM8
(5339) 1992 CD
(5346) 1981 QE3
(5358) 1992 QH
(5364) 1980 RC1
(5373) 1988 VV3
(5396) 1988 SH1
(5428) 1987 RA1
(5476) 1989 TO11
(5510) 1988 RF7
(5525) 1991 TS4
(55565) 2002 AW197
(5582) 1989 CU8
(5599) 1991 SG1
(5600) 1991 UY
(5611) 1943 DL
(5627) 1991 MA
(5633) 1978 UL7
(5763) 1982 MA
(5766) 1986 QR3
(5776) 1989 UT2
(5842) 1986 CV1
(5860) 1981 QE1
(5882) 1992 WW5
(5903) 1989 AN1
(5906) 1989 SN5
(5907) 1989 TU5
(5920) 1992 SX17
(5921) 1992 UL
(5949) 1985 RL3
(5964) 1990 QN4
(5980) 1993 FP2
(6003) 1988 VO1
(6027) 1993 SS2
(6045) 1991 RG9
(6048) 1991 UC1
(6230) 1984 SG1
(6292) 1986 QQ2
(6301) 1989 BR1
(6322) 1991 CQ
(6427) 1995 FY
(6476) 1987 VT
(6634) 1987 KB
(6638) 1989 CA
(66391) 1999 KW4
(6651) 1991 RV9
(6680) 1970 WD
(6703) 1988 CH
(6706) 1988 VD3
(6781) 1990 OD
(6782) 1990 SU10
(6822) 1986 UO
(6840) 1995 WW5
(6848) 1978 VG5
(6892) 1978 VG8
(6896) 1987 RE1
(6915) 1992 HH
(6930) 1994 VJ3
(7026) 1993 QB1
(7029) 1993 XT2
(7033) 1994 WN2
(7044) 1971 UK
(7050) 1982 FE3
(7070) 1994 YO2
(7071) 1995 BH4
(7129) 1991 VE1
(7135) 1993 VO
(7185) 1991 VN1
(7202) 1995 DX1
(7218) 1979 SK
(7245) 1991 RN10
(7281) 1988 RX4
(7283) 1989 TX15
(7310) 1995 OL1
(7350) 1993 VA
(7523) 1991 PF18
(7539) 1996 XS32
(7712) 1995 TB1
(7745) 1987 DB6
(79128) 1990 SB13
(7922) 1983 CO3
(7997) 1985 CN1
(8017) 1990 RM5
(8042) 1994 AX2
(8105) 1994 WH2
(8135) 1978 VP10
(8162) 1990 SK11
(8170) 1991 PZ11
(8180) 1992 PY2
(8185) 1992 WR2
(8196) 1993 UB3
(8198) 1993 VE2
(8281) 1991 PC18
(8455) 1981 ER6
(84719) 2002 VR128
(8495) 1990 QV1
(8499) 1990 SC13
(8508) 1991 CU1
(8512) 1991 PC11
(8513) 1991 PK11
(8514) 1991 PK15
(8570) 1996 TN10
(8576) 1996 VN8
(8613) 1978 VE10
(8615) 1979 MB2
(8621) 1981 EK7
(8622) 1981 EM8
(8624) 1981 ES9
(8626) 1981 EC18
(8629) 1981 EU26
(8631) 1981 EK41
(8645) 1988 TN
(8658) 1990 RG3
(8664) 1991 GR1
(8673) 1991 RN5
(8789) 1978 VZ7
(8792) 1978 VH11
(8844) 1990 QR2
(8846) 1990 RK7
(8863) 1991 UV2
(8899) 1995 SX29
(8903) 1995 UB7
(9030) 1989 UX5
(9045) 1991 PG15
(9046) 1991 PG17
(9085) 1995 QH2
(9086) 1995 SA3
(9095) 1995 WT2
(9120) 1998 DR8
(9163) 1987 RB1
(9166) 1987 SC6
(9173) 1989 TZ15
(9182) 1991 NB4
(9199) 1993 FO1
(9209) 1994 UK1
(9269) 1978 VW6
(9271) 1978 VT8
(9278) 1981 EM1
(9290) 1981 TT
(9310) 1987 SV12
(9311) 1987 UV1
(9330) 1990 EF7
(9338) 1991 FL4
(9345) 1991 RA10
(9348) 1991 RH25
(9352) 1991 UB4
(9355) 1991 XO2
(9366) 1992 WR1
(9401) 1994 TS3
(9402) 1994 UN1
(9546) 1984 SD6
(9557) 1986 QL2
(9593) 1991 PZ17
(9601) 1991 UE3
(9644) 1994 WQ3
(9714) 1975 LF1
(9731) 1982 JD1
(9734) 1986 CB2
(9752) 1990 QZ1
(9753) 1990 QL3
(9760) 1991 PJ13
(9787) 1995 BA3
(9798) 1996 JK
(9855) 1991 CU
(9925) 1981 EU24
(9928) 1981 WE9
(9944) 1990 DA3
(9946) 1990 ON2
(9976) 1993 TQ
(9978) 1994 AJ1
(9990) 1997 SO17
(Everything I Do) I Do It for You
(I've Had) The Time of My Life
(Just Like) Starting Over
(Pronounced 'Lĕh-'nérd 'Skin-'nérd)
(S,S)-butanediol dehydrogenase
(Shake, Shake, Shake) Shake Your Booty
